Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,3.575000,3.600000,3.502500,3.510000,3.220430,46804400
2012-01-04,3.512500,3.565000,3.480000,3.550000,3.257130,34737200
2012-01-05,3.532500,3.695000,3.517500,3.677500,3.374112,56354800
2012-01-06,3.675000,3.677500,3.592500,3.635000,3.335118,53325200
2012-01-09,3.637500,3.705000,3.610000,3.635000,3.335118,50824400
2012-01-10,3.690000,3.692500,3.595000,3.620000,3.321356,54632800
2012-01-11,3.587500,3.620000,3.532500,3.547500,3.254837,48427200
2012-01-12,3.555000,3.557500,3.447500,3.525000,3.234193,65236400
2012-01-13,3.500000,3.507500,3.415000,3.432500,3.149324,50430000
2012-01-17,3.485000,3.485000,3.375000,3.380000,3.101155,62717600
2012-01-18,3.445000,3.522500,3.427500,3.495000,3.206667,63267600
2012-01-19,3.525000,3.592500,3.487500,3.587500,3.291537,60831200
2012-01-20,3.582500,3.625000,3.542500,3.555000,3.261718,54627200
2012-01-23,3.557500,3.655000,3.512500,3.652500,3.351174,56279200
2012-01-24,3.627500,3.750000,3.625000,3.735000,3.426868,73092000
2012-01-25,3.635000,3.722500,3.530000,3.712500,3.406225,127415200
2012-01-26,3.767500,3.810000,3.657500,3.677500,3.374112,79967200
2012-01-27,3.655000,3.747500,3.625000,3.727500,3.419987,44999600
2012-01-30,3.662500,3.717500,3.607500,3.700000,3.394754,39907600
2012-01-31,3.710000,3.712500,3.627500,3.692500,3.387874,35790000
2012-02-01,3.735000,3.775000,3.682500,3.732500,3.424574,42802000
2012-02-02,3.752500,3.887500,3.715000,3.872500,3.553024,69623600
2012-02-03,3.930000,3.987500,3.922500,3.955000,3.628718,49523200
2012-02-06,3.935000,3.940000,3.890000,3.925000,3.601193,27886800
2012-02-07,3.930000,3.957500,3.865000,3.935000,3.610368,41029600
2012-02-08,3.935000,4.155000,3.915000,4.077500,3.741113,84761200
2012-02-09,4.127500,4.150000,4.067500,4.075000,3.738818,56194400
2012-02-10,4.035000,4.050000,3.952500,3.975000,3.647069,44026800
2012-02-13,4.075000,4.090000,3.955000,4.037500,3.704412,61066800
2012-02-14,4.037500,4.095000,4.002500,4.060000,3.725056,45375600
2012-02-15,4.097500,4.225000,4.032500,4.042500,3.708999,111085600
2012-02-16,3.765000,4.145000,3.750000,4.112500,3.773225,188858800
2012-02-17,4.115000,4.142500,3.925000,3.962500,3.635600,102036000
2012-02-21,3.960000,4.080000,3.952500,3.982500,3.653950,51817600
2012-02-22,3.962500,4.060000,3.950000,3.955000,3.628718,49243200
2012-02-23,3.962500,4.000000,3.900000,3.977500,3.649362,32396800
2012-02-24,3.990000,3.995000,3.930000,3.947500,3.621837,36666800
2012-02-27,3.897500,3.915000,3.812500,3.867500,3.548437,74526800
2012-02-28,3.867500,3.912500,3.792500,3.832500,3.516325,69988400
2012-02-29,3.845000,3.910000,3.785000,3.787500,3.475036,68919600
2012-03-01,3.802500,3.857500,3.787500,3.812500,3.497974,44994400
2012-03-02,3.800000,3.900000,3.800000,3.845000,3.527793,68407600
2012-03-05,3.817500,3.825000,3.687500,3.715000,3.408518,51484800
2012-03-06,3.672500,3.702500,3.615000,3.680000,3.376405,47140000
2012-03-07,3.700000,3.717500,3.650000,3.702500,3.397050,44198400
2012-03-08,3.712500,3.752500,3.692500,3.715000,3.408518,43085200
2012-03-09,3.725000,3.752500,3.685000,3.705000,3.399343,36783600
2012-03-12,3.720000,3.745000,3.637500,3.647500,3.346586,29994800
2012-03-13,3.662500,3.717500,3.645000,3.697500,3.392462,55328800
2012-03-14,3.697500,3.705000,3.580000,3.592500,3.296124,73570800
2012-03-15,3.602500,3.665000,3.590000,3.645000,3.344293,38238000
2012-03-16,3.647500,3.665000,3.627500,3.650000,3.348879,42834000
2012-03-19,3.670000,3.687500,3.642500,3.660000,3.358055,40540000
2012-03-20,3.640000,3.640000,3.567500,3.600000,3.303006,44961600
2012-03-21,3.600000,3.647500,3.560000,3.615000,3.316768,46784000
2012-03-22,3.587500,3.640000,3.577500,3.610000,3.312181,42537200
2012-03-23,3.600000,3.647500,3.575000,3.637500,3.337411,31545600
2012-03-26,3.672500,3.697500,3.637500,3.680000,3.376405,28860000
2012-03-27,3.695000,3.750000,3.687500,3.705000,3.399343,41996800
2012-03-28,3.752500,3.840000,3.725000,3.790000,3.477329,89244800
2012-03-29,3.785000,3.837500,3.737500,3.807500,3.493387,37270000
2012-03-30,3.840000,3.872500,3.785000,3.850000,3.532380,52724000
2012-04-02,3.840000,3.872500,3.777500,3.832500,3.516325,40777600
2012-04-03,3.860000,3.865000,3.750000,3.770000,3.458980,43047600
2012-04-04,3.712500,3.760000,3.640000,3.662500,3.360348,49589600
2012-04-05,3.667500,3.712500,3.645000,3.657500,3.355761,36942400
2012-04-09,3.600000,3.622500,3.540000,3.610000,3.312181,36550400
2012-04-10,3.595000,3.645000,3.522500,3.540000,3.247955,47036000
2012-04-11,3.587500,3.662500,3.575000,3.585000,3.289243,37296000
2012-04-12,3.590000,3.690000,3.575000,3.670000,3.367230,38486800
2012-04-13,3.637500,3.657500,3.537500,3.540000,3.247955,31132400
2012-04-16,3.565000,3.575000,3.440000,3.497500,3.208961,46346800
2012-04-17,3.507500,3.550000,3.492500,3.505000,3.215843,46069600
2012-04-18,3.482500,3.500000,3.425000,3.467500,3.181436,40076400
2012-04-19,3.422500,3.552500,3.397500,3.415000,3.133267,66718800
2012-04-20,3.435000,3.445000,3.340000,3.347500,3.071337,50959200
2012-04-23,3.290000,3.322500,3.227500,3.307500,3.034636,70624400
2012-04-24,3.317500,3.345000,3.187500,3.205000,2.940592,73044000
2012-04-25,3.252500,3.295000,3.192500,3.270000,3.000230,72711200
2012-04-26,3.267500,3.300000,3.245000,3.272500,3.002524,53920800
2012-04-27,3.267500,3.287500,3.210000,3.245000,2.977292,47535600
2012-04-30,3.227500,3.267500,3.205000,3.250000,2.981879,26226800
2012-05-01,3.232500,3.342500,3.232500,3.307500,3.034636,40868000
2012-05-02,3.295000,3.307500,3.195000,3.212500,2.947472,68400800
2012-05-03,3.220000,3.240000,3.137500,3.157500,2.897011,41953600
2012-05-04,3.137500,3.155000,3.065000,3.065000,2.812142,54509200
2012-05-07,3.120000,3.172500,3.092500,3.117500,2.860311,60444000
2012-05-08,3.090000,3.135000,3.035000,3.115000,2.858017,46231200
2012-05-09,3.060000,3.152500,3.030000,3.127500,2.869486,52060800
2012-05-10,3.157500,3.162500,3.055000,3.105000,2.848842,59709200
2012-05-11,3.362500,3.420000,3.290000,3.302500,3.030050,143514000
2012-05-14,3.275000,3.332500,3.207500,3.282500,3.011698,43747200
2012-05-15,3.282500,3.355000,3.235000,3.250000,2.981879,59994000
2012-05-16,3.255000,3.292500,3.175000,3.185000,2.922242,47048400
2012-05-17,3.197500,3.227500,3.162500,3.162500,2.901598,33536400
2012-05-18,3.170000,3.185000,3.005000,3.020000,2.770854,56728800
2012-05-21,3.025000,3.087500,3.005000,3.072500,2.819023,41626000
2012-05-22,3.070000,3.075000,2.990000,3.035000,2.784617,41014000
2012-05-23,3.002500,3.115000,2.957500,3.110000,2.853429,49600000
2012-05-24,3.127500,3.132500,3.005000,3.027500,2.777736,52042000
2012-05-25,3.025000,3.125000,3.025000,3.100000,2.844254,39175200
2012-05-29,3.150000,3.200000,3.137500,3.180000,2.917655,31000000
2012-05-30,3.145000,3.167500,3.087500,3.142500,2.883248,37979200
2012-05-31,3.142500,3.155000,3.067500,3.107500,2.851135,35819200
2012-06-01,3.042500,3.072500,2.990000,2.995000,2.747917,44098400
2012-06-04,3.010000,3.027500,2.907500,2.932500,2.690573,43285600
2012-06-05,2.917500,3.025000,2.917500,3.017500,2.768560,36522400
2012-06-06,3.040000,3.105000,3.017500,3.097500,2.841961,36896800
2012-06-07,3.142500,3.160000,2.970000,2.972500,2.727274,52678000
2012-06-08,2.982500,3.040000,2.977500,3.030000,2.780029,37030800
2012-06-11,3.127500,3.182500,3.057500,3.065000,2.812142,83908000
2012-06-12,3.100000,3.157500,3.095000,3.127500,2.869486,49612800
2012-06-13,3.125000,3.132500,3.030000,3.045000,2.793793,49427600
2012-06-14,3.040000,3.065000,2.977500,3.007500,2.759385,58988400
2012-06-15,3.030000,3.075000,3.002500,3.072500,2.819023,38528800
2012-06-18,3.050000,3.125000,3.025000,3.100000,2.844254,30442400
2012-06-19,3.227500,3.357500,3.212500,3.310000,3.036930,96047600
2012-06-20,3.342500,3.425000,3.322500,3.362500,3.085099,97272000
2012-06-21,3.360000,3.360000,3.202500,3.210000,2.945179,51637600
2012-06-22,3.250000,3.287500,3.205000,3.250000,2.981879,86536000
2012-06-25,3.252500,3.262500,3.135000,3.147500,2.887837,49461600
2012-06-26,3.165000,3.205000,3.120000,3.182500,2.919948,43715200
2012-06-27,3.185000,3.307500,3.185000,3.285000,3.013992,50606400
2012-06-28,3.255000,3.330000,3.227500,3.310000,3.036930,54589600
2012-06-29,3.387500,3.462500,3.385000,3.455000,3.169968,61650800
2012-07-02,3.472500,3.475000,3.335000,3.362500,3.085099,58168400
2012-07-03,3.362500,3.457500,3.360000,3.450000,3.165380,21928400
2012-07-05,3.427500,3.442500,3.362500,3.415000,3.133267,28007600
2012-07-06,3.390000,3.400000,3.312500,3.350000,3.073630,38276000
2012-07-09,3.330000,3.345000,3.277500,3.305000,3.032342,30633600
2012-07-10,3.270000,3.367500,3.180000,3.205000,2.940592,51202800
2012-07-11,3.215000,3.255000,3.137500,3.152500,2.892423,48521600
2012-07-12,3.117500,3.122500,3.072500,3.100000,2.844254,47216000
2012-07-13,3.102500,3.155000,3.082500,3.140000,2.880955,32426000
2012-07-16,3.120000,3.175000,3.090000,3.150000,2.890130,33446000
2012-07-17,3.160000,3.177500,3.040000,3.092500,2.837373,44747600
2012-07-18,3.085000,3.310000,3.070000,3.265000,2.995642,61600800
2012-07-19,3.287500,3.340000,3.265000,3.297500,3.025461,40303600
2012-07-20,3.277500,3.300000,3.167500,3.202500,2.938299,45100000
2012-07-23,3.117500,3.267500,3.082500,3.245000,2.977292,45158400
2012-07-24,3.250000,3.270000,3.172500,3.210000,2.945179,35116400
2012-07-25,3.200000,3.305000,3.185000,3.272500,3.002524,41504400
2012-07-26,3.332500,3.370000,3.262500,3.287500,3.016286,33844000
2012-07-27,3.300000,3.380000,3.275000,3.370000,3.091980,37651600
2012-07-30,3.370000,3.412500,3.305000,3.332500,3.057574,36355200
2012-07-31,3.332500,3.432500,3.327500,3.385000,3.105743,38778800
