,Date,Close,Predicted
0,2019-03-27,18.322001,22.261925
1,2019-03-28,18.574667,22.663044
2,2019-03-29,18.657333,22.909681
3,2019-04-01,19.278667,23.004892
4,2019-04-02,19.058666,23.538088
5,2019-04-03,19.454,23.386621
6,2019-04-04,17.851999,23.722883
7,2019-04-05,18.330667,22.402157
8,2019-04-08,18.213333,22.721607
9,2019-04-09,18.153999,22.614151
10,2019-04-10,18.403999,22.558878
11,2019-04-11,17.894667,22.762003
12,2019-04-12,17.846666,22.357311
13,2019-04-15,17.758667,22.301601
14,2019-04-16,18.224001,22.217299
15,2019-04-17,18.082001,22.594221
16,2019-04-18,18.217333,22.497614
17,2019-04-22,17.516666,22.613264
18,2019-04-23,17.593332,22.047209
19,2019-04-24,17.243999,22.0807
20,2019-04-25,16.508667,21.776754
21,2019-04-26,15.676,21.188467
22,2019-04-29,16.098,20.550163
23,2019-04-30,15.912667,20.770542
24,2019-05-01,15.600667,20.630302
25,2019-05-02,16.273333,20.445942
26,2019-05-03,17.002001,20.894169
27,2019-05-06,17.022667,21.475927
28,2019-05-07,16.470667,21.549772
29,2019-05-08,16.322666,21.158344
30,2019-05-09,16.132,21.022194
31,2019-05-10,15.968,20.847675
32,2019-05-13,15.134,20.702951
33,2019-05-14,15.487333,20.213116
34,2019-05-15,15.463333,20.350378
35,2019-05-16,15.222,20.336672
36,2019-05-17,14.068667,20.20866
37,2019-05-20,13.690667,19.897728
38,2019-05-21,13.672,19.859873
39,2019-05-22,12.848667,19.844126
40,2019-05-23,13.032667,19.840096
41,2019-05-24,12.708667,19.840967
42,2019-05-28,12.58,19.84178
43,2019-05-29,12.657333,19.842813
44,2019-05-30,12.548,19.843388
45,2019-05-31,12.344,19.843708
46,2019-06-03,11.931333,19.843685
47,2019-06-04,12.906667,19.843685
48,2019-06-05,13.106,19.843685
49,2019-06-06,13.73,19.843685
50,2019-06-07,13.633333,19.843685
51,2019-06-10,14.192,19.843685
52,2019-06-11,14.473333,19.843685
53,2019-06-12,13.950667,19.885248
54,2019-06-13,14.260667,19.848402
55,2019-06-14,14.328,19.84688
56,2019-06-17,15.002,19.85063
57,2019-06-18,14.982667,20.046263
58,2019-06-19,15.095333,20.062706
59,2019-06-20,14.641333,20.114386
60,2019-06-21,14.790667,19.977512
61,2019-06-24,14.909333,20.008259
62,2019-06-25,14.650667,20.042013
63,2019-06-26,14.618,19.96755
64,2019-06-27,14.856,19.950916
65,2019-06-28,14.897333,20.01789
66,2019-07-01,15.144667,20.037159
67,2019-07-02,14.97,20.132471
68,2019-07-03,15.66,20.076849
69,2019-07-05,15.54,20.429098
70,2019-07-08,15.356,20.396502
